,,2016 a 2018,,2019 a 2023,,,
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T250N0,VD4016,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T251N0,VD4017,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T252N0,VD4018,1,"Remuneração em dinheiro, produtos ou mercadorias em pelo menos um dos trabalhos",1,"Remuneração em dinheiro, produtos ou mercadorias em pelo menos um dos trabalhos",VERDADEIRO,VERDADEIRO
,,2,Remuneração em benefícios ou sem remuneração em todos os trabalhos,2,Remuneração em benefícios ou sem remuneração em todos os trabalhos,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T253N0,VD4019,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T254N0,VD4020,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T255N0,VDI4022,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T256N0,VD4023,1,"Tinha que cuidar dos afazeres domésticos, do(s) filho(s) ou de outro(s) dependente(s)",1,"Tinha que cuidar dos afazeres domésticos, do(s) filho(s) ou de outro(s) dependente(s)",VERDADEIRO,VERDADEIRO
,,2,Estava estudando,2,Estava estudando,VERDADEIRO,VERDADEIRO
,,3,"Por incapacidade física, mental ou doença permanente",3,"Por incapacidade física, mental ou doença permanente",VERDADEIRO,VERDADEIRO
,,4,Por ser muito jovem ou muito idoso para trabalhar,4,Por ser muito jovem ou muito idoso para trabalhar,VERDADEIRO,VERDADEIRO
,,5,Por não querer trabalhar,5,Por não querer trabalhar,VERDADEIRO,VERDADEIRO
,,6,Por outro motivo,6,Por outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T257N0,VD4030,1,"Tinha que cuidar dos afazeres domésticos, do(s) filho(s) ou de outro(s) parente(s)",1,"Tinha que cuidar dos afazeres domésticos, do(s) filho(s) ou de outro(s) parente(s)",VERDADEIRO,VERDADEIRO
,,2,Estava estudando,2,Estava estudando,VERDADEIRO,VERDADEIRO
,,3,Por problema de saúde ou gravidez,3,Por problema de saúde ou gravidez,VERDADEIRO,VERDADEIRO
,,4,Por ser muito jovem ou muito idoso para trabalhar,4,Por ser muito jovem ou muito idoso para trabalhar,VERDADEIRO,VERDADEIRO
,,5,Por não querer trabalhar,5,Por não querer trabalhar,VERDADEIRO,VERDADEIRO
,,6,Por outro motivo,6,Por outro motivo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T258N0,VD4031,1 a 120,,1 a 120,,VERDADEIRO,VERDADEIRO
,,,Não se aplica,,Não se aplica,VERDADEIRO,VERDADEIRO
PND2T259N0,VD4032,0 a 120,,0 a 120,,VERDADEIRO,VERDADEIRO
,,,Não se aplica,,Não se aplica,VERDADEIRO,VERDADEIRO
PND2T260N0,VD4033,0 a 120,,0 a 120,,VERDADEIRO,VERDADEIRO
,,,Não se aplica,,Não se aplica,VERDADEIRO,VERDADEIRO
PND2T261N0,VD4034,0 a 120,,0 a 120,,VERDADEIRO,VERDADEIRO
,,,Não se aplica,,Não se aplica,VERDADEIRO,VERDADEIRO
PND2T262N0,VD4035,0 a 120,,0 a 120,,VERDADEIRO,VERDADEIRO
,,,Não se aplica,,Não se aplica,VERDADEIRO,VERDADEIRO
PND2T263N0,VD4036,1,Até 14 horas,1,Até 14 horas,VERDADEIRO,VERDADEIRO
,,2,15 a 39 horas,2,15 a 39 horas,VERDADEIRO,VERDADEIRO
,,3,40 a 44 horas,3,40 a 44 horas,VERDADEIRO,VERDADEIRO
,,4,45 a 48 horas,4,45 a 48 horas,VERDADEIRO,VERDADEIRO
,,5,49 horas ou mais,5,49 horas ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T264N0,VD4037,1,Até 14 horas,1,Até 14 horas,VERDADEIRO,VERDADEIRO
,,2,15 a 39 horas,2,15 a 39 horas,VERDADEIRO,VERDADEIRO
,,3,40 a 44 horas,3,40 a 44 horas,VERDADEIRO,VERDADEIRO
,,4,45 a 48 horas,4,45 a 48 horas,VERDADEIRO,VERDADEIRO
,,5,49 horas ou mais,5,49 horas ou mais,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T265N0,VDI4046,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T266N0,VDI4047,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T267N0,VDI4048,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T268N0,VDI4052,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T269N0,VDI5001,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T270N0,VDI5002,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T271N0,VDI5003,1,Até ¼ salário mínimo,1,Até ¼ salário mínimo,VERDADEIRO,VERDADEIRO
,,2,Mais de ¼ até ½ salário mínimo,2,Mais de ¼ até ½ salário mínimo,VERDADEIRO,VERDADEIRO
,,3,Mais de ½ até 1 salário mínimo,3,Mais de ½ até 1 salário mínimo,VERDADEIRO,VERDADEIRO
,,4,Mais de 1 até 2 salários mínimos,4,Mais de 1 até 2 salários mínimos,VERDADEIRO,VERDADEIRO
,,5,Mais de 2 até 3 salários mínimos,5,Mais de 2 até 3 salários mínimos,VERDADEIRO,VERDADEIRO
,,6,Mais de 3 até 5 salários mínimos,6,Mais de 3 até 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,7,Mais de 5 salários mínimos,7,Mais de 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,9,Ignorado,9,Ignorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T272N0,VDI5004,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T273N0,VDI5005,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T274N0,VDI5006,1,Até ¼ salário mínimo,1,Até ¼ salário mínimo,VERDADEIRO,VERDADEIRO
,,2,Mais de ¼ até ½ salário mínimo,2,Mais de ¼ até ½ salário mínimo,VERDADEIRO,VERDADEIRO
,,3,Mais de ½ até 1 salário mínimo,3,Mais de ½ até 1 salário mínimo,VERDADEIRO,VERDADEIRO
,,4,Mais de 1 até 2 salários mínimos,4,Mais de 1 até 2 salários mínimos,VERDADEIRO,VERDADEIRO
,,5,Mais de 2 até 3 salários mínimos,5,Mais de 2 até 3 salários mínimos,VERDADEIRO,VERDADEIRO
,,6,Mais de 3 até 5 salários mínimos,6,Mais de 3 até 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,7,Mais de 5 salários mínimos,7,Mais de 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,9,Ignorado,9,Ignorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T275N0,VDI5007,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T276N0,VDI5008,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T277N0,VDI5009,1,Até ¼ salário mínimo,1,Até ¼ salário mínimo,VERDADEIRO,VERDADEIRO
,,2,Mais de ¼ até ½ salário mínimo,2,Mais de ¼ até ½ salário mínimo,VERDADEIRO,VERDADEIRO
,,3,Mais de ½ até 1 salário mínimo,3,Mais de ½ até 1 salário mínimo,VERDADEIRO,VERDADEIRO
,,4,Mais de 1 até 2 salários mínimos,4,Mais de 1 até 2 salários mínimos,VERDADEIRO,VERDADEIRO
,,5,Mais de 2 até 3 salários mínimos,5,Mais de 2 até 3 salários mínimos,VERDADEIRO,VERDADEIRO
,,6,Mais de 3 até 5 salários mínimos,6,Mais de 3 até 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,7,Mais de 5 salários mínimos,7,Mais de 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,9,Ignorado,9,Ignorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T278N0,VDI5010,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T279N0,VDI5011,Valor,R$,Valor,R$,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,99999999,Ignorado,99999999,Ignorado,VERDADEIRO,VERDADEIRO
PND2T280N0,VDI5012,1,Até ¼ salário mínimo,1,Até ¼ salário mínimo,VERDADEIRO,VERDADEIRO
,,2,Mais de ¼ até ½ salário mínimo,2,Mais de ¼ até ½ salário mínimo,VERDADEIRO,VERDADEIRO
,,3,Mais de ½ até 1 salário mínimo,3,Mais de ½ até 1 salário mínimo,VERDADEIRO,VERDADEIRO
,,4,Mais de 1 até 2 salários mínimos,4,Mais de 1 até 2 salários mínimos,VERDADEIRO,VERDADEIRO
,,5,Mais de 2 até 3 salários mínimos,5,Mais de 2 até 3 salários mínimos,VERDADEIRO,VERDADEIRO
,,6,Mais de 3 até 5 salários mínimos,6,Mais de 3 até 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,7,Mais de 5 salários mínimos,7,Mais de 5 salários mínimos,VERDADEIRO,VERDADEIRO
,,9,Ignorado,9,Ignorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
,,,,,,,
PND2T335N0,V1028001,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T336N0,V1028002,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T337N0,V1028003,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T338N0,V1028004,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T339N0,V1028005,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T340N0,V1028006,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T341N0,V1028007,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T342N0,V1028008,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T343N0,V1028009,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T344N0,V1028010,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T345N0,V1028011,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T346N0,V1028012,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T347N0,V1028013,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T348N0,V1028014,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T349N0,V1028015,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T350N0,V1028016,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T351N0,V1028017,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T352N0,V1028018,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T353N0,V1028019,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T354N0,V1028020,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T355N0,V1028021,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T356N0,V1028022,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T357N0,V1028023,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T358N0,V1028024,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T359N0,V1028025,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T360N0,V1028026,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T361N0,V1028027,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T362N0,V1028028,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T363N0,V1028029,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T364N0,V1028030,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T365N0,V1028031,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T366N0,V1028032,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T367N0,V1028033,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T368N0,V1028034,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T369N0,V1028035,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T370N0,V1028036,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T371N0,V1028037,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T372N0,V1028038,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T373N0,V1028039,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T374N0,V1028040,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T375N0,V1028041,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T376N0,V1028042,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T377N0,V1028043,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T378N0,V1028044,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T379N0,V1028045,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T380N0,V1028046,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T381N0,V1028047,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T382N0,V1028048,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T383N0,V1028049,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T384N0,V1028050,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T385N0,V1028051,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T386N0,V1028052,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T387N0,V1028053,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T388N0,V1028054,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T389N0,V1028055,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T390N0,V1028056,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T391N0,V1028057,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T392N0,V1028058,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T393N0,V1028059,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T394N0,V1028060,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T395N0,V1028061,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T396N0,V1028062,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T397N0,V1028063,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T398N0,V1028064,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T399N0,V1028065,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T400N0,V1028066,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T401N0,V1028067,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T402N0,V1028068,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
